NBC,ISBN,TR,PUB,PHYS,SERIES,TITLEHEADING,AUTHORHEADING,HOLDINGSRECORD,HOLDINGLOC,NOTE,ED,HOLDINGPHYS
JP20658260,ISBN4-564-60108-3,0〜5歳児の運動あそび指導百科 / 前橋明著,"大阪 : ひかりのくに, 2004.7",239p ; 26cm,,0 5サイジ ノ ウンドウアソビ シドウ ヒャッカ,"マエハシ, アキラ (前橋, 明)",JP20658260-01,NDL FC32-H359,,,
JP20657481,ISBN4-89815-117-5,0円ハウス / 坂口恭平著,"東京 : リトル・モア, 2004.7",199p ; 20×20cm,,0エン ハウス,"サカグチ, キョウヘイ (坂口, 恭平)",JP20657481-01,NDL ED16-H16,"['並列タイトル: Zero yen houses', '奥付のタイトル: ゼロ円ハウス', '英文併記']",,
JP20582807,ISBN4-7628-2363-5,0歳〜5歳児までのコミュニケーションスキルの発達と診断 : 子ども・親・専門家をつなぐ / B.バックレイ著 ; 丸野俊一監訳,"京都 : 北大路書房, 2004.3",309p ; 21cm,,0サイ 5サイジ マデ ノ コミュニケーション スキル ノ ハッタツ ト シンダン,"['Buckley, Belinda', 'マルノ, シュンイチ (丸野, 俊一)']",JP20582807-01,NDL SB157-H37,"['文献あり', ""原タイトル: Children's communication skills.""]",,
JP20627107,ISBN4-86053-024-1,0才から6才の幼児スクールガイド. 首都圏版 / オクムラ書店企画・編集,"東京 : オクムラ書店, 2004.5",132p ; 21cm,,0サイ カラ 6サイ ノ ヨウジ スクール ガイド,オクムラ ショテン (オクムラ書店),JP20627107-01,NDL Y76-H242,,,
JP20747626,ISBN4-7631-9601-4,0歳からの母親作戦 : 子どもの心と能力は0歳で決まる / 井深大著,"東京 : サンマーク出版, 2004.8",233p ; 20cm,,"['0サイ カラノ ハハオヤ サクセン', 'ゼロサイ カラノ ハハオヤ サクセン']","イブカ, マサル (井深, 大)",JP20747626-01,NDL EF34-H346,肖像あり,新装版,
JP20683636,ISBN4-7973-2821-5,0歳からの未来設計 : 子どもの習い事が気になるときに開く本 / 末木佐知著,"東京 : ソフトバンクパブリッシング, 2004.10",247p ; 19cm,,0サイ カラ ノ ミライ セッケイ,"スエキ, サチ (末木, 佐知)",JP20683636-01,NDL EF34-H296,,,
JP20698642,ISBN4-332-51026-7,0歳児・1歳児・2歳児のための乳児保育 / 巷野悟郎，植松紀子編著,"東京 : 光生館, 2004.4",241p ; 21cm,,0サイジ 1サイジ 2サイジ ノ タメノ ニュウジ ホイク,"['コウノ, ゴロウ (巷野, 悟郎)', 'ウエマツ, ノリコ (植松, 紀子)']",JP20698642-01,NDL EG57-H269,文献あり,,
JP20539031,ISBN4-569-63015-4,0歳児の心の秘密がわかる本 : 赤ちゃんて、どうして泣きやんでくれないの？ / H.ヴァン・デ・リート，F.プローイュ著 ; 川本英明訳,"東京 : PHP研究所, 2004.1",315p ; 20cm,,0サイジ ノ ココロ ノ ヒミツ ガ ワカル ホン,"['Vanderijt, Hetty.', 'Plooij, Frans X.', 'カワモト, ヒデアキ (川本, 英明)']",JP20539031-01,NDL SB157-H30,"['原タイトル: Oei,ik groei!', '原タイトル: The wonder weeks. 抄訳']",,
JP20649548,ISBN4-433-21984-3,1000万円をこえる高額納税者全覧. 近畿版 平成16年5月調査,"大阪 : 清文社, 2004.7","8,363p ; 27cm",,1000マンエン オ コエル コウガク ノウゼイシャ ゼンラン キンキバン ヘイセイ 16ネン 5ガツ チョウサ,,JP20649548-01,NDL D4-H306,大阪国税局管内(近畿地方2府4県),,
JP20543418,ISBN4-8067-1277-9,1000万人が反グローバリズムで自給・自立できるわけ : スローライフ大国キューバ・リポート / 吉田太郎著,"東京 : 築地書館, 2004.1",577p ; 19cm,,1000マンニン ガ ハン グローバリズム デ ジキュウ ジリツ デキル ワケ,"ヨシダ, タロウ (吉田, 太郎)",JP20543418-01,NDL GH393-H3,,,
